case,idx,x_m,span_m,x_over_c,y_over_b,phi_rad,cp_low,cp_fluent,p_e_low,p_wall_fluent,p_e_over_p_wall,q_low,q_fluent,q_ratio,q_lam_low,rho_e,ma_e
ma6_a5_h30km,2164,3.157757433809339,0.67016755,0.7250000000000001,0.65,0.29898409445961605,0.09317849004457787,0.0561221085106661,3920.289451643746,2828.404781,1.3860425770662512,30367.27638517508,69686.75858,0.4357682435510847,30367.27638517508,0.04028525712138208,4.73352317511222
ma6_a5_h30km,2165,3.1778139140907324,0.67016755,0.7375,0.65,0.29898409445961605,0.09317849004457787,0.056148350722472255,3920.289451643746,2829.17952,1.3856630248913104,30108.826779745224,69734.95189,0.43176091706837233,30108.826779745224,0.04028525712138208,4.73352317511222
ma6_a5_h30km,2166,3.197870394372126,0.67016755,0.75,0.65,0.29898409445961605,0.09317849004457787,0.056148350722472255,3920.289451643746,2829.17952,1.3856630248913104,29856.8656406723,69734.95189,0.4281477914800681,29856.8656406723,0.04028525712138208,4.73352317511222
ma6_a5_h30km,2167,3.2179268746535197,0.67016755,0.7625000000000001,0.65,0.2995320385492657,0.09336899452867951,0.012845848718265508,3925.9106087358473,1550.775956,2.5315782035092678,29703.27195519773,43645.68466,0.6805546112195582,29703.27195519773,0.04032650833958886,4.732338146537372
ma6_a5_h30km,2168,3.2379833549349133,0.67016755,0.775,0.65,0.2995320385492657,0.09336899452867951,0.012985227614446742,3925.9106087358473,1554.890787,2.5248786870172943,29462.755673274594,43739.14885,0.6736014862638232,29462.755673274594,0.04032650833958886,4.732338146537372
ma6_a5_h30km,2169,3.2580398352163074,0.67016755,0.7875000000000001,0.65,0.30096231890734076,0.09386634869686818,0.012985227614446742,3940.5858848742732,1554.890787,2.534316826506654,29348.01018907534,43739.14885,0.6709780816659705,29348.01018907534,0.04043412434120626,4.729253229973641
ma6_a5_h30km,2170,3.278096315497701,0.67016755,0.8,0.65,0.30096231890734076,0.09386634869686818,0.05789996486766289,3940.5858848742732,2880.891769,1.367835448480631,29117.826163081143,68272.54157,0.42649395340331026,29117.826163081143,0.04043412434120626,4.729253229973641
ma6_a5_h30km,2171,3.2981527957790946,0.67016755,0.8125,0.65,0.30096231890734076,0.09386634869686818,0.057782958947513424,3940.5858848742732,2877.437447,1.3694775151351095,28892.974719619837,67987.68282,0.4249736646579807,28892.974719619837,0.04043412434120626,4.729253229973641
ma6_a5_h30km,2172,3.3182092760604887,0.67016755,0.8250000000000001,0.65,0.30096231890734076,0.09386634869686818,0.05759612742945987,3940.5858848742732,2871.92169,1.3721077070434582,28673.253091925442,67885.58102,0.4223761903647539,28673.253091925442,0.04043412434120626,4.729253229973641
ma6_a5_h30km,2173,3.3382657563418823,0.67016755,0.8375,0.65,0.3004582638404709,0.09369105846955665,0.014548087885478555,3935.4136501677003,1601.030526,2.458050353355786,28451.564155820968,43340.04328,0.6564729059453992,28451.564155820968,0.04039620865632348,4.730339036255534
ma6_a5_h30km,2174,3.358322236623276,0.67016755,0.8500000000000001,0.65,0.3004582638404709,0.09369105846955665,0.014632202659504266,3935.4136501677003,1603.513815,2.4542436824391816,28241.586642843828,43476.87931,0.6495771336639624,28241.586642843828,0.04039620865632348,4.730339036255534
ma6_a5_h30km,2175,3.3783787169046695,0.67016755,0.8625,0.65,0.30091575103358187,0.09385015360735584,0.014716459053724085,3940.108021359938,1606.001285,2.4533654226558963,28067.87328096456,43540.30471,0.6446411771325558,28067.87328096456,0.04043062190199863,4.72935348137293
ma6_a5_h30km,2176,3.398435197186063,0.67016755,0.875,0.65,0.3021113820793841,0.09426600389397273,0.014797356058417217,3952.3783875872323,1608.389577,2.4573514054718553,27989.23150988128,43578.10236,0.642277428206061,27989.23150988128,0.040520517574233215,4.726783540693957
ma6_a5_h30km,2177,3.4184916774674567,0.67016755,0.8875000000000001,0.65,0.3021113820793841,0.09426600389397273,0.015355111357591725,3952.3783875872323,1624.855978,2.4324484391854404,27791.425275008012,43286.8534,0.6420292327140603,27791.425275008012,0.040520517574233215,4.726783540693957
ma6_a5_h30km,2178,3.4385481577488504,0.67016755,0.9,0.65,0.3021113820793841,0.09426600389397273,0.01531486124545728,3952.3783875872323,1623.667689,2.4342286382636957,27597.754446683895,43157.61948,0.6394642424490808,27597.754446683895,0.040520517574233215,4.726783540693957
ma6_a5_h30km,2179,3.4586046380302444,0.67016755,0.9125000000000001,0.65,0.30222576635072107,0.09430579212938821,0.01503033723158717,3953.5524067854817,1615.267793,2.44761421228033,27437.08737934511,42949.9557,0.6388152660968894,27437.08737934511,0.04052911454013594,4.726538115451624
ma6_a5_h30km,2180,3.478661118311638,0.67016755,0.925,0.65,0.30222576635072107,0.09430579212938821,0.05824615334900718,3953.5524067854817,2891.112162,1.3674849626209284,27251.071082821374,66486.08131,0.40987633119418954,27251.071082821374,0.04052911454013594,4.726538115451624
